month,device,count
2017-07,33330000,351088
2017-07,33330001,21334
2017-07,33330002,1005
2017-08,33330000,569652
2017-08,33330001,110912
2017-08,33330002,10059
2017-08,33330003,14041
2017-08,33330004,2
2017-08,33330005,3
2017-09,33330000,590481
2017-09,33330001,151630
2017-09,33330002,18473
2017-09,33330003,22443
2017-09,33330004,943
2017-09,33330005,46
2017-10,33330000,669071
2017-10,33330001,206304
2017-10,33330002,19862
2017-10,33330003,23688
2017-10,33330004,5666
2017-10,33330005,315
2017-11,33330000,673750
2017-11,33330001,238530
2017-11,33330002,18821
2017-11,33330003,27376
2017-11,33330004,7740
2017-11,33330005,537
2017-11,33330007,3
2017-12,33330000,747742
2017-12,33330001,288011
2017-12,33330002,19058
2017-12,33330003,34763
2017-12,33330004,11676
2017-12,33330005,1932
2017-12,33330007,26
2018-01,33330000,709928
2018-01,33330001,311321
2018-01,33330002,16780
2018-01,33330003,40518
2018-01,33330004,20300
2018-01,33330005,3140
2018-01,33330007,1432
2018-02,33330000,758002
2018-02,33330001,360715
2018-02,33330002,22007
2018-02,33330003,46105
2018-02,33330004,27338
2018-02,33330005,4197
2018-02,33330007,3241
2018-03,33330000,835591
2018-03,33330001,371540
2018-03,33330002,21266
2018-03,33330003,54780
2018-03,33330004,36546
2018-03,33330005,863
2018-03,33330007,6252
2018-04,33330000,744300
2018-04,33330001,273921
2018-04,33330002,29063
2018-04,33330003,56869
2018-04,33330004,42155
2018-04,33330007,8063
2018-05,33330000,830908
2018-05,33330001,325320
2018-05,33330002,30919
2018-05,33330003,63658
2018-05,33330004,39355
2018-05,33330007,13328
2018-06,33330000,805675
2018-06,33330001,428261
2018-06,33330002,59563
2018-06,33330003,59110
2018-06,33330004,28528
2018-06,33330007,12724
2018-07,33330000,924783
2018-07,33330001,500011
2018-07,33330002,95798
2018-07,33330003,71294
2018-07,33330004,23608
2018-07,33330007,14691
2018-08,33330000,919800
2018-08,33330001,455657
2018-08,33330002,119798
2018-08,33330003,84292
2018-08,33330004,25362
2018-08,33330005,122
2018-08,33330007,19242
2018-08,33330008,38
2018-09,33330000,872773
2018-09,33330001,535205
2018-09,33330002,100145
2018-09,33330003,83834
2018-09,33330004,23000
2018-09,33330005,1726
2018-09,33330007,19862
2018-09,33330008,10
2018-10,33330000,922925
2018-10,33330001,613492
2018-10,33330002,90691
2018-10,33330003,83977
2018-10,33330004,24231
2018-10,33330005,2746
2018-10,33330007,22103
2018-10,33330008,39
2018-11,33330000,144437
2018-11,33330001,102144
2018-11,33330002,13871
2018-11,33330003,12842
2018-11,33330004,3485
2018-11,33330005,484
2018-11,33330007,3450
2018-11,33330008,3
